uprn,slope_mean,aspect_mean,shading_mean,pv_output,AREA
100071164597.0,70.70875539799995,4.329100290934245,0.5833333432674408,235161.6158489458,5.794960662088814
100071167787.0,73.35497589111328,4.552107175191243,0.6250000099341074,1432823.2621378757,29.63778371645246
100071167788.0,67.84059727407877,4.6744062517368095,0.6473763360651658,534184.6052182233,10.412059106185298
100071167790.0,72.1957499186198,4.640912214914958,0.597222238779068,1286396.5340059202,27.44080987931491
100071167791.0,73.73163032531738,4.481012900670369,0.4305555497606595,984040.611121105,29.95139373545192
100071167794.0,67.03845087687175,4.564374239470962,0.8292493347125759,757179.662709775,11.548917741313078
100071167795.0,67.96317632115533,4.481012900670369,0.4305555497606595,354749.9765005602,10.487055924498007
100071167796.0,49.80241457621256,4.5633485317230225,0.8333333134651184,1891410.3694717954,26.456044357496086
100071167797.0,53.06123461906973,1.4688095226737035,0.46848748759394687,264527.0534347817,6.492488665407362
100071167798.0,65.3953462024864,4.51041316986084,0.7638888955116272,1423984.6022271242,23.328760428521473
100071167801.0,73.94386291503906,4.5272227200594815,0.6628787788477811,1199749.950443273,23.344102417059176
100071167812.0,59.69378395210629,4.57138665290877,0.708435963355605,1561190.0056932187,25.426711071583107
100071168023.0,17.087814273256242,1.286630847237327,0.8409090719439766,6905632.075676414,53.887485091778736
100071168025.0,17.087814273256242,1.286630847237327,0.8409090719439766,6905632.075676414,53.887485091778736
100071168027.0,17.087814273256242,1.286630847237327,0.8409090719439766,6905632.075676414,53.887485091778736
100071168029.0,17.087814273256242,1.286630847237327,0.8409090719439766,6905632.075676414,53.887485091778736
100071168031.0,17.087814273256242,1.286630847237327,0.8409090719439766,6905632.075676414,53.887485091778736
100071168033.0,17.087814273256242,1.286630847237327,0.8409090719439766,6905632.075676414,53.887485091778736
100071176071.0,46.31825304031372,4.101433211263587,0.6638399597085458,1230038.115923088,21.551749613220963
100071176072.0,59.648047748111864,4.412764611802888,0.6793079973405394,419627.74586154823,7.771949579467908
100071176074.0,24.861186981201172,4.5895702838897705,0.8333333134651184,582410.2123827058,5.621236789499396
100071176076.0,70.72680282592773,1.4456642270088196,0.8125,586101.4379834604,9.752189910042722
100071176077.0,54.024864196777344,1.6741889715194702,0.4375,407198.8496212932,10.090074068614701
100071176081.0,22.305208206176758,6.17166805267334,0.8333333134651184,603967.5298390519,5.5128717175968
100071176085.0,64.68180581507642,4.633450656301864,0.5363069704787778,1060409.8308477257,23.63342337924351
100071176086.0,40.04873819672887,2.614002701803337,0.728449634390886,4193768.5290471087,50.930268582312756
100071176087.0,72.49770863850911,4.577529498508999,0.8333333134651184,1326281.5055273904,20.9405287401478
100071176088.0,71.37521362304688,1.4311460852622986,0.8333333134651184,1927366.0833815942,29.609842484174493
100071176100.0,43.87548942565918,4.553372764587403,0.7416666567325592,791714.1246457269,10.361668798344313
100071176102.0,43.87548942565918,4.553372764587403,0.7416666567325592,791714.1246457269,10.361668798344313
100071176104.0,35.78894968490559,2.911341845593668,0.7180555452903112,2037321.7621750534,30.29541694895946
100071176106.0,35.78894968490559,2.911341845593668,0.7180555452903112,2037321.7621750534,30.29541694895946
100071176107.0,60.47859887874818,5.211368802884976,0.4532919060903545,198943.36560677923,5.9147907888388565
100071180827.0,66.00107828776042,4.3622254019780575,0.5416604972689577,453063.6105128014,10.597879608472498
100071180828.0,62.451305037579814,4.6288628346574745,0.46683099939809314,241302.79778883746,6.3015515394647075
100071180829.0,61.66913532408324,4.3622254019780575,0.5416604972689577,375514.01434606744,8.22168488852637
100071180830.0,66.49054718017578,4.567113876342773,0.2708333283662796,248367.06751224984,11.006419631705734
100071183415.0,60.079325959378345,2.1894454904171337,0.34403430639843957,371565.94209794374,13.236358139998798
100071183416.0,52.91265439987182,5.309874574343363,0.6041666815678279,2581830.182669078,50.62681657658255
100071183417.0,53.58529939960951,1.393229901790619,0.6666666567325592,2061873.7476647478,34.70571287119344
100071183420.0,64.3922647946619,4.264762347894061,0.6484862202933984,274636.3724306285,5.348691793193828
100071190974.0,64.12614067430785,6.083263622612493,0.367360139522413,219473.3004811458,7.140793642068725
100071190982.0,69.95144653320312,4.725131034851074,0.3125,380549.5611202871,15.144694867601798
100071190987.0,63.43982863271357,4.349841151658941,0.7078146724267922,362600.5963247957,6.546721727645962
100071190995.0,67.47369384765625,4.268624544143677,0.4999999925494194,454645.969885421,11.501518080108637
100071190999.0,67.86031331850937,1.3678448537103152,0.8867290911115184,363260.2178836489,5.08004875469257
100071191001.0,59.220845794677736,4.782730914749358,0.5909226719354336,1333436.1666206294,26.22145680539822
100071191003.0,72.96866416931152,4.6013394594192505,0.6354166641831398,1561974.3915388368,31.339251824501808
100071191007.0,67.1258193012894,4.734237836438942,0.4237238468009075,1060309.2433264984,30.914977851650317
100071191013.0,71.45364761352539,4.489928960800171,0.6666666567325592,534671.7445213681,10.86708415000989
100071191015.0,71.45364761352539,4.489928960800171,0.6666666567325592,534671.7445213681,10.86708415000989
