uprn,slope_mean,aspect_mean,shading_mean,height_mean,pv_output,AREA,parentUPRN,thoroughfare,postcode,buildingNumber,full_address
10007123947.0,55.37098503112793,0.24773124605417252,0.4583333283662796,126.81000137329102,2741.4449688643213,5.9664184961028655,100071565541.0,GORSEBROOK ROAD,WV6 0PD ,117,117 GORSEBROOK ROAD
100071353154.0,25.755514526367186,5.799382305145263,0.7083333373069763,127.2509994506836,7165.480904079153,6.600961164309195,100071583636.0,DUNSTALL ROAD,WV6 0PA ,5,5 DUNSTALL ROAD
100071353155.0,25.755514526367186,5.799382305145263,0.7083333373069763,127.2509994506836,7165.480904079153,6.600961164309195,100071583636.0,DUNSTALL ROAD,WV6 0PA ,6,6 DUNSTALL ROAD
100071353412.0,55.37098503112793,0.24773124605417252,0.4583333283662796,126.81000137329102,2741.4449688643213,5.9664184961028655,100071565541.0,GORSEBROOK ROAD,WV6 0PD ,117,117 GORSEBROOK ROAD
100071353413.0,55.37098503112793,0.24773124605417252,0.4583333283662796,126.81000137329102,2741.4449688643213,5.9664184961028655,100071565541.0,GORSEBROOK ROAD,WV6 0PD ,117,117 GORSEBROOK ROAD
